CRN,Subject,Number,Title,Section,Type,Term,Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,E,F,Average
35918,CS,101,Intro Computing: Engrg & Sci,AYK,LBD,120138,"Gambill, Thomas N",6,9,3,4,4,3,2,2,2,1,0,0,1,1,3.18
61078,CS,101,Intro Computing: Engrg & Sci,AYL,LBD,120138,"Gambill, Thomas N",5,4,7,4,6,4,2,1,0,3,1,0,0,0,3.12
35910,CS,101,Intro Computing: Engrg & Sci,AYM,LBD,120138,"Gambill, Thomas N",7,3,3,1,4,2,0,2,1,2,1,1,2,0,2.82
35913,CS,101,Intro Computing: Engrg & Sci,AYN,LBD,120138,"Gambill, Thomas N",8,3,4,5,3,4,3,5,0,2,0,0,0,0,3.1
47174,CS,105,Intro Computing: Non-Tech,AYA,LBD,120138,"Zhao, Kai",1,8,7,5,7,5,0,0,2,0,2,0,1,0,3.11
35827,CS,105,Intro Computing: Non-Tech,AYB,LBD,120138,"Zhao, Kai",5,7,6,6,7,2,0,0,4,0,0,0,1,0,3.24
35828,CS,105,Intro Computing: Non-Tech,AYC,LBD,120138,"Zhao, Kai",5,7,5,6,7,2,0,0,2,0,0,0,0,0,3.41
35847,CS,105,Intro Computing: Non-Tech,AYD,LBD,120138,"Zhao, Kai",9,4,7,7,3,0,2,0,0,2,0,0,0,0,3.45
35831,CS,105,Intro Computing: Non-Tech,AYE,LBD,120138,"Zhao, Kai",3,7,9,2,9,3,1,0,1,2,1,0,1,0,3.14
35832,CS,105,Intro Computing: Non-Tech,AYF,LBD,120138,"Zhao, Kai",0,7,7,5,5,5,4,0,3,1,0,0,1,0,3.01
35833,CS,105,Intro Computing: Non-Tech,AYG,LBD,120138,"Zhao, Kai",2,9,5,3,4,5,5,0,4,0,0,0,1,0,3.05
35835,CS,105,Intro Computing: Non-Tech,AYH,LBD,120138,"Zhao, Kai",3,5,6,6,7,2,2,0,1,1,0,0,0,0,3.27
35836,CS,105,Intro Computing: Non-Tech,AYI,LBD,120138,"Zhao, Kai",2,6,9,8,3,4,2,0,3,1,1,0,0,0,3.16
35837,CS,105,Intro Computing: Non-Tech,AYJ,LBD,120138,"Zhao, Kai",3,5,5,4,7,4,5,0,4,1,0,0,0,0,3.03
35838,CS,105,Intro Computing: Non-Tech,AYK,LBD,120138,"Zhao, Kai",6,8,7,4,8,0,1,0,2,0,0,0,0,1,3.46
35840,CS,105,Intro Computing: Non-Tech,AYL,LBD,120138,"Zhao, Kai",1,9,7,5,7,2,0,0,5,0,1,0,1,0,3.11
35843,CS,105,Intro Computing: Non-Tech,AYM,LBD,120138,"Zhao, Kai",3,2,9,5,8,2,1,0,2,0,0,2,1,0,3.03
47175,CS,105,Intro Computing: Non-Tech,AYN,LBD,120138,"Zhao, Kai",3,5,8,6,6,1,4,0,5,0,0,1,2,0,2.94
35851,CS,105,Intro Computing: Non-Tech,AYO,LBD,120138,"Zhao, Kai",4,9,7,1,4,4,2,0,1,0,0,0,0,1,3.44
35854,CS,105,Intro Computing: Non-Tech,AYP,LBD,120138,"Zhao, Kai",4,6,8,4,9,4,0,0,2,0,1,0,0,0,3.28
35856,CS,105,Intro Computing: Non-Tech,AYQ,LBD,120138,"Zhao, Kai",1,8,4,4,7,6,1,0,4,1,1,1,0,0,2.97
35858,CS,105,Intro Computing: Non-Tech,AYR,LBD,120138,"Zhao, Kai",3,5,7,5,10,2,3,0,1,0,0,0,0,0,3.29
35873,CS,105,Intro Computing: Non-Tech,AYS,LBD,120138,"Zhao, Kai",2,11,6,5,7,5,0,0,1,0,0,0,0,0,3.42
47176,CS,105,Intro Computing: Non-Tech,AYT,LBD,120138,"Zhao, Kai",4,11,4,7,8,2,0,0,1,0,0,0,1,0,3.39
47178,CS,105,Intro Computing: Non-Tech,AYU,LBD,120138,"Zhao, Kai",3,6,3,5,5,2,0,0,1,2,2,0,1,0,3.01
35876,CS,125,Intro to Computer Science,AL1,LEC,120138,"Zilles, Craig",11,67,21,20,40,11,8,12,7,0,5,6,7,3,3.11
35878,CS,125,Intro to Computer Science,AL2,LEC,120138,"Zilles, Craig",17,64,14,15,28,9,6,15,4,0,8,5,6,0,3.12
